Draw Date	|  Numbers As Drawn
08-20-2022	16--11--9--66--5
08-17-2022	41--23--55--50--28
08-15-2022	20--50--47--63--24
08-13-2022	43--35--24--62--19
08-10-2022	68--59--61--44--29
08-08-2022	58--45--51--57--32
08-06-2022	15--8--46--56--68
08-03-2022	9--21--56--57--66
08-01-2022	31--65--36--15--21
07-30-2022	17--4--58--68--57
07-27-2022	25--55--1--44--57
07-25-2022	25--37--38--39--65
07-23-2022	59--39--41--54--62
07-20-2022	20--10--65--23--49
07-18-2022	36--14--50--58--34
07-16-2022	23--57--32--18--3
07-13-2022	22--23--47--63--36
07-11-2022	52--37--34--4--26
07-09-2022	42--22--52--46--14
07-06-2022	36--32--69--49--62
07-04-2022	16--15--56--31--24
07-02-2022	59--10--9--37--62
06-29-2022	63--40--8--49--58
06-27-2022	13--30--37--18--11
06-25-2022	12--20--32--27--6
06-22-2022	10--56--6--31--48
06-20-2022	3--44--69--61--63
06-18-2022	40--45--10--19--58
06-15-2022	28--19--42--41--51
06-13-2022	2--44--42--51--27
06-11-2022	26--53--69--20--18
06-08-2022	39--43--62--22--64
06-06-2022	10--2--44--35--46
06-04-2022	60--52--14--16--36
06-01-2022	41--56--63--11--57
05-30-2022	51--69--28--68--27
05-28-2022	66--50--61--39--2
05-25-2022	42--19--28--39--57
05-23-2022	42--37--33--1--39
05-21-2022	15--52--25--58--14
05-18-2022	64--41--40--58--65
05-16-2022	7--22--15--36--64
05-14-2022	6--52--40--45--41
05-11-2022	61--5--7--69--63
05-09-2022	18--56--30--35--52
05-07-2022	5--28--6--67--4
05-04-2022	55--63--69--39--37
05-02-2022	18--39--44--33--27
04-30-2022	21--37--44--63--14
04-27-2022	62--68--61--11--36
04-25-2022	18--61--12--39--20
04-23-2022	49--10--56--39--47
04-20-2022	55--30--56--20--45
04-18-2022	8--33--59--55--62
04-16-2022	62--32--15--65--21
04-13-2022	63--68--41--16--14
04-11-2022	5--34--24--31--7
04-09-2022	62--31--66--6--16
04-06-2022	6--45--47--42--64
04-04-2022	2--39--69--32--46
04-02-2022	58--59--47--28--6
03-30-2022	37--3--31--21--7
03-28-2022	62--11--18--58--39
03-26-2022	2--50--10--59--61
03-23-2022	37--38--31--32--48
03-21-2022	26--15--65--63--1
03-19-2022	9--52--18--8--48
03-16-2022	58--35--28--34--3
03-14-2022	21--28--32--49--44
03-12-2022	19--39--37--61--20
03-09-2022	34--13--22--67--51
03-07-2022	59--67--10--55--43
03-05-2022	37--23--52--63--8
03-02-2022	63--61--48--19--37
02-28-2022	21--7--39--47--55
02-26-2022	48--32--36--64--15
02-23-2022	64--35--17--6--21
02-21-2022	37--45--36--69--2
02-19-2022	10--3--15--42--33
02-16-2022	40--22--48--30--42
02-14-2022	49--55--16--27--25
02-12-2022	10--8--41--21--62
02-09-2022	63--17--51--2--33
02-07-2022	65--5--15--38--47
02-05-2022	39--61--27--16--5
02-02-2022	33--62--18--63--29
01-31-2022	61--10--69--51--15
01-29-2022	54--2--15--65--38
01-26-2022	69--38--49--4--11
01-24-2022	11--53--47--30--29
01-22-2022	67--14--8--33--36
01-19-2022	11--43--61--15--55
01-17-2022	46--65--24--35--9
01-15-2022	3--59--37--51--18
01-12-2022	21--22--30--12--33
01-10-2022	17--21--14--27--18
01-08-2022	21--20--65--36--60
01-05-2022	25--6--14--33--46
01-03-2022	2--33--13--32--48
01-01-2022	39--48--12--50--6
